id,breed
Abyssinian_1,Abyssinian
Abyssinian_10,Abyssinian
Abyssinian_100,Abyssinian
Abyssinian_101,Abyssinian
Abyssinian_102,Abyssinian
Abyssinian_103,Abyssinian
Abyssinian_104,Abyssinian
Abyssinian_105,Abyssinian
Abyssinian_106,Abyssinian
Abyssinian_107,Abyssinian
Abyssinian_108,Abyssinian
Abyssinian_109,Abyssinian
Abyssinian_11,Abyssinian
Abyssinian_110,Abyssinian
Abyssinian_111,Abyssinian
Abyssinian_112,Abyssinian
Abyssinian_113,Abyssinian
Abyssinian_114,Abyssinian
Abyssinian_115,Abyssinian
Abyssinian_116,Abyssinian
Abyssinian_117,Abyssinian
Abyssinian_118,Abyssinian
Abyssinian_119,Abyssinian
Abyssinian_12,Abyssinian
Abyssinian_120,Abyssinian
Abyssinian_121,Abyssinian
Abyssinian_122,Abyssinian
Abyssinian_123,Abyssinian
Abyssinian_124,Abyssinian
Abyssinian_125,Abyssinian
Abyssinian_126,Abyssinian
Abyssinian_127,Abyssinian
Abyssinian_128,Abyssinian
Abyssinian_129,Abyssinian
Abyssinian_13,Abyssinian
Abyssinian_130,Abyssinian
Abyssinian_131,Abyssinian
Abyssinian_132,Abyssinian
Abyssinian_133,Abyssinian
Abyssinian_134,Abyssinian
Abyssinian_135,Abyssinian
Abyssinian_136,Abyssinian
Abyssinian_137,Abyssinian
Abyssinian_138,Abyssinian
Abyssinian_139,Abyssinian
Abyssinian_14,Abyssinian
Abyssinian_140,Abyssinian
Abyssinian_141,Abyssinian
Abyssinian_142,Abyssinian
Abyssinian_143,Abyssinian
Abyssinian_144,Abyssinian
Abyssinian_145,Abyssinian
Abyssinian_146,Abyssinian
Abyssinian_148,Abyssinian
Abyssinian_149,Abyssinian
Abyssinian_15,Abyssinian
Abyssinian_150,Abyssinian
Abyssinian_151,Abyssinian
Abyssinian_152,Abyssinian
Abyssinian_153,Abyssinian
Abyssinian_154,Abyssinian
Abyssinian_155,Abyssinian
Abyssinian_156,Abyssinian
Abyssinian_157,Abyssinian
Abyssinian_158,Abyssinian
Abyssinian_159,Abyssinian
Abyssinian_16,Abyssinian
Abyssinian_160,Abyssinian
Abyssinian_161,Abyssinian
Abyssinian_164,Abyssinian
Abyssinian_165,Abyssinian
Abyssinian_166,Abyssinian
Abyssinian_167,Abyssinian
Abyssinian_168,Abyssinian
Abyssinian_169,Abyssinian
Abyssinian_17,Abyssinian
Abyssinian_170,Abyssinian
Abyssinian_172,Abyssinian
Abyssinian_173,Abyssinian
Abyssinian_174,Abyssinian
Abyssinian_175,Abyssinian
Abyssinian_176,Abyssinian
Abyssinian_177,Abyssinian
Abyssinian_178,Abyssinian
Abyssinian_179,Abyssinian
Abyssinian_18,Abyssinian
Abyssinian_180,Abyssinian
Abyssinian_181,Abyssinian
Abyssinian_182,Abyssinian
Abyssinian_183,Abyssinian
Abyssinian_184,Abyssinian
Abyssinian_185,Abyssinian
Abyssinian_19,Abyssinian
Abyssinian_190,Abyssinian
Abyssinian_191,Abyssinian
Abyssinian_192,Abyssinian
Abyssinian_193,Abyssinian
Abyssinian_195,Abyssinian
Abyssinian_196,Abyssinian
Abyssinian_197,Abyssinian
Abyssinian_2,Abyssinian
Abyssinian_20,Abyssinian
Abyssinian_201,Abyssinian
Abyssinian_202,Abyssinian
Abyssinian_204,Abyssinian
Abyssinian_205,Abyssinian
Abyssinian_206,Abyssinian
Abyssinian_207,Abyssinian
Abyssinian_21,Abyssinian
Abyssinian_210,Abyssinian
Abyssinian_212,Abyssinian
Abyssinian_213,Abyssinian
Abyssinian_215,Abyssinian
Abyssinian_216,Abyssinian
Abyssinian_217,Abyssinian
Abyssinian_219,Abyssinian
Abyssinian_22,Abyssinian
Abyssinian_220,Abyssinian
Abyssinian_221,Abyssinian
Abyssinian_223,Abyssinian
Abyssinian_224,Abyssinian
Abyssinian_225,Abyssinian
Abyssinian_226,Abyssinian
Abyssinian_228,Abyssinian
Abyssinian_230,Abyssinian
Abyssinian_232,Abyssinian
Abyssinian_24,Abyssinian
Abyssinian_25,Abyssinian
Abyssinian_26,Abyssinian
Abyssinian_27,Abyssinian
Abyssinian_29,Abyssinian
Abyssinian_3,Abyssinian
Abyssinian_30,Abyssinian
Abyssinian_31,Abyssinian
Abyssinian_32,Abyssinian
Abyssinian_33,Abyssinian
Abyssinian_34,Abyssinian
Abyssinian_36,Abyssinian
Abyssinian_37,Abyssinian
Abyssinian_4,Abyssinian
Abyssinian_40,Abyssinian
Abyssinian_43,Abyssinian
Abyssinian_44,Abyssinian
Abyssinian_45,Abyssinian
Abyssinian_46,Abyssinian
Abyssinian_47,Abyssinian
Abyssinian_48,Abyssinian
Abyssinian_49,Abyssinian
Abyssinian_5,Abyssinian
Abyssinian_50,Abyssinian
Abyssinian_51,Abyssinian
Abyssinian_52,Abyssinian
Abyssinian_54,Abyssinian
Abyssinian_55,Abyssinian
Abyssinian_56,Abyssinian
Abyssinian_57,Abyssinian
Abyssinian_58,Abyssinian
Abyssinian_6,Abyssinian
Abyssinian_60,Abyssinian
Abyssinian_61,Abyssinian
Abyssinian_62,Abyssinian
Abyssinian_63,Abyssinian
Abyssinian_65,Abyssinian
Abyssinian_66,Abyssinian
Abyssinian_67,Abyssinian
Abyssinian_68,Abyssinian
Abyssinian_69,Abyssinian
Abyssinian_7,Abyssinian
Abyssinian_70,Abyssinian
Abyssinian_71,Abyssinian
Abyssinian_72,Abyssinian
Abyssinian_73,Abyssinian
Abyssinian_74,Abyssinian
Abyssinian_75,Abyssinian
Abyssinian_76,Abyssinian
Abyssinian_77,Abyssinian
Abyssinian_78,Abyssinian
Abyssinian_79,Abyssinian
Abyssinian_8,Abyssinian
Abyssinian_80,Abyssinian
Abyssinian_81,Abyssinian
Abyssinian_82,Abyssinian
Abyssinian_83,Abyssinian
Abyssinian_84,Abyssinian
Abyssinian_85,Abyssinian
Abyssinian_86,Abyssinian
Abyssinian_87,Abyssinian
Abyssinian_88,Abyssinian
Abyssinian_89,Abyssinian
Abyssinian_9,Abyssinian
Abyssinian_90,Abyssinian
Abyssinian_91,Abyssinian
Abyssinian_92,Abyssinian
Abyssinian_93,Abyssinian
Abyssinian_94,Abyssinian
Abyssinian_95,Abyssinian
Abyssinian_96,Abyssinian
Abyssinian_97,Abyssinian
Abyssinian_98,Abyssinian
Abyssinian_99,Abyssinian
Bengal_1,Bengal
Bengal_10,Bengal
Bengal_100,Bengal
Bengal_101,Bengal
Bengal_102,Bengal
Bengal_103,Bengal
Bengal_104,Bengal
Bengal_105,Bengal
Bengal_106,Bengal
Bengal_107,Bengal
Bengal_108,Bengal
Bengal_109,Bengal
Bengal_11,Bengal
Bengal_110,Bengal
Bengal_111,Bengal
Bengal_112,Bengal
Bengal_113,Bengal
Bengal_114,Bengal
Bengal_115,Bengal
Bengal_116,Bengal
Bengal_117,Bengal
Bengal_118,Bengal
Bengal_119,Bengal
Bengal_12,Bengal
Bengal_120,Bengal
Bengal_121,Bengal
Bengal_122,Bengal
Bengal_123,Bengal
Bengal_124,Bengal
Bengal_125,Bengal
Bengal_126,Bengal
Bengal_127,Bengal
Bengal_128,Bengal
Bengal_129,Bengal
Bengal_13,Bengal
Bengal_130,Bengal
Bengal_131,Bengal
Bengal_132,Bengal
Bengal_133,Bengal
Bengal_134,Bengal
Bengal_135,Bengal
Bengal_136,Bengal
Bengal_137,Bengal
Bengal_138,Bengal
Bengal_139,Bengal
Bengal_14,Bengal
Bengal_140,Bengal
Bengal_141,Bengal
Bengal_142,Bengal
Bengal_143,Bengal
Bengal_144,Bengal
Bengal_145,Bengal
Bengal_146,Bengal
Bengal_147,Bengal
Bengal_148,Bengal
Bengal_149,Bengal
Bengal_15,Bengal
Bengal_150,Bengal
Bengal_151,Bengal
Bengal_152,Bengal
Bengal_153,Bengal
Bengal_154,Bengal
Bengal_155,Bengal
Bengal_156,Bengal
Bengal_157,Bengal
Bengal_158,Bengal
Bengal_159,Bengal
Bengal_16,Bengal
Bengal_160,Bengal
Bengal_161,Bengal
Bengal_162,Bengal
Bengal_163,Bengal
Bengal_164,Bengal
Bengal_165,Bengal
Bengal_166,Bengal
Bengal_167,Bengal
Bengal_168,Bengal
Bengal_169,Bengal
Bengal_17,Bengal
Bengal_170,Bengal
Bengal_171,Bengal
Bengal_172,Bengal
Bengal_173,Bengal
Bengal_174,Bengal
Bengal_175,Bengal
Bengal_176,Bengal
Bengal_177,Bengal
Bengal_178,Bengal
Bengal_179,Bengal
Bengal_18,Bengal
Bengal_180,Bengal
Bengal_182,Bengal
Bengal_183,Bengal
Bengal_184,Bengal
Bengal_185,Bengal
Bengal_186,Bengal
Bengal_187,Bengal
Bengal_188,Bengal
Bengal_189,Bengal
Bengal_19,Bengal
Bengal_190,Bengal
Bengal_191,Bengal
Bengal_192,Bengal
Bengal_193,Bengal
Bengal_194,Bengal
Bengal_195,Bengal
Bengal_196,Bengal
Bengal_197,Bengal
Bengal_198,Bengal
Bengal_199,Bengal
Bengal_2,Bengal
Bengal_20,Bengal
Bengal_200,Bengal
Bengal_201,Bengal
Bengal_21,Bengal
Bengal_22,Bengal
Bengal_23,Bengal
Bengal_24,Bengal
Bengal_25,Bengal
Bengal_26,Bengal
Bengal_27,Bengal
Bengal_28,Bengal
Bengal_29,Bengal
Bengal_3,Bengal
Bengal_30,Bengal
Bengal_31,Bengal
Bengal_32,Bengal
Bengal_33,Bengal
Bengal_34,Bengal
Bengal_35,Bengal
Bengal_36,Bengal
Bengal_37,Bengal
Bengal_38,Bengal
Bengal_39,Bengal
Bengal_4,Bengal
Bengal_40,Bengal
Bengal_41,Bengal
Bengal_42,Bengal
Bengal_43,Bengal
Bengal_44,Bengal
Bengal_45,Bengal
Bengal_46,Bengal
Bengal_47,Bengal
Bengal_48,Bengal
Bengal_49,Bengal
Bengal_5,Bengal
Bengal_50,Bengal
Bengal_51,Bengal
Bengal_52,Bengal
Bengal_53,Bengal
Bengal_54,Bengal
Bengal_55,Bengal
Bengal_56,Bengal
Bengal_57,Bengal
Bengal_58,Bengal
Bengal_59,Bengal
Bengal_6,Bengal
Bengal_60,Bengal
Bengal_61,Bengal
Bengal_62,Bengal
Bengal_63,Bengal
Bengal_64,Bengal
Bengal_65,Bengal
Bengal_66,Bengal
Bengal_67,Bengal
Bengal_68,Bengal
Bengal_69,Bengal
Bengal_7,Bengal
Bengal_70,Bengal
Bengal_71,Bengal
Bengal_72,Bengal
Bengal_73,Bengal
Bengal_74,Bengal
Bengal_75,Bengal
Bengal_76,Bengal
Bengal_77,Bengal
Bengal_78,Bengal
Bengal_79,Bengal
Bengal_8,Bengal
